Hour,Latitude,Longitude,PM10
22,28.5517,77.275,327.96
23,28.5517,77.275,257.34
0,28.5517,77.275,211.83
1,28.5517,77.275,228.5
2,28.5517,77.275,196.55
3,28.5517,77.275,162.08
4,28.5517,77.275,140.85
5,28.5517,77.275,159.03
6,28.5517,77.275,177.93
7,28.5517,77.275,247.49
8,28.5517,77.275,244.75
9,28.5517,77.275,202.66
10,28.5517,77.275,225.23
11,28.5517,77.275,218.15
12,28.5517,77.275,159.14
13,28.5517,77.275,152.66
14,28.5517,77.275,166.56
15,28.5517,77.275,178.28
16,28.5517,77.275,172.13
17,28.5517,77.275,195.22
18,28.5517,77.275,190.93
19,28.5517,77.275,257.21
20,28.5517,77.275,278.39
21,28.5517,77.275,242.49
22,28.5517,77.275,182.32
23,28.5517,77.275,173
0,28.5517,77.275,189.94
1,28.5517,77.275,173.44
2,28.5517,77.275,158.99
3,28.5517,77.275,146.17
4,28.5517,77.275,145.87
5,28.5517,77.275,133.44
6,28.5517,77.275,126.82
7,28.5517,77.275,166.98
8,28.5517,77.275,160.52
9,28.5517,77.275,173.77
10,28.5517,77.275,175.6
11,28.5517,77.275,195.68
12,28.5517,77.275,208.17
13,28.5517,77.275,251.84
14,28.5517,77.275,278.78
15,28.5517,77.275,248.02
16,28.5517,77.275,212.36
17,28.5517,77.275,163.97
18,28.5517,77.275,174.81
19,28.5517,77.275,234.2
20,28.5517,77.275,196.53
21,28.5517,77.275,166.26
22,28.5517,77.275,198.45
23,28.5517,77.275,184.37
0,28.5517,77.275,219.62
1,28.5517,77.275,193.02
2,28.5517,77.275,193.92
3,28.5517,77.275,181.62
4,28.5517,77.275,160.17
5,28.5517,77.275,166.38
6,28.5517,77.275,173.04
7,28.5517,77.275,229.44
8,28.5517,77.275,218.97
9,28.5517,77.275,171.44
10,28.5517,77.275,193.03
11,28.5517,77.275,214.93
12,28.5517,77.275,163.36
13,28.5517,77.275,158.7
14,28.5517,77.275,162.24
15,28.5517,77.275,171.5
16,28.5517,77.275,197.94
17,28.5517,77.275,172.56
18,28.5517,77.275,179.57
19,28.5517,77.275,270.39
20,28.5517,77.275,305.03
21,28.5517,77.275,297.35
22,28.5517,77.275,368.61
23,28.5517,77.275,367.62
0,28.5517,77.275,373.66
1,28.5517,77.275,321.57
2,28.5517,77.275,301.58
3,28.5517,77.275,256.37
4,28.5517,77.275,314.1
5,28.5517,77.275,324.24
6,28.5517,77.275,242.94
7,28.5517,77.275,233.13
8,28.5517,77.275,202.93
9,28.5517,77.275,192.04
10,28.5517,77.275,188.8
11,28.5517,77.275,195.35
12,28.5517,77.275,215.89
13,28.5517,77.275,168.17
14,28.5517,77.275,129.46
15,28.5517,77.275,123.01
16,28.5517,77.275,111.91
17,28.5517,77.275,120.59
18,28.5517,77.275,201.75
19,28.5517,77.275,429.47
20,28.5517,77.275,505.56
21,28.5517,77.275,504.92
22,28.5517,77.275,554.62
23,28.5517,77.275,581.04
0,28.5517,77.275,483.59
1,28.5517,77.275,39.58
10,28.5517,77.275,235.97
11,28.5517,77.275,325.69
12,28.5517,77.275,194.33
13,28.5517,77.275,159.51
14,28.5517,77.275,125.44
15,28.5517,77.275,110.93
16,28.5517,77.275,121.37
17,28.5517,77.275,142.04
18,28.5517,77.275,230.39
19,28.5517,77.275,301.7
20,28.5517,77.275,332.08
21,28.5517,77.275,288.63
22,28.5517,77.275,262.13
23,28.5517,77.275,283.37
0,28.5517,77.275,358.58
1,28.5517,77.275,323.45
2,28.5517,77.275,285.95
3,28.5517,77.275,314.84
4,28.5517,77.275,298.17
5,28.5517,77.275,248.13
6,28.5517,77.275,271.75
7,28.5517,77.275,333.13
8,28.5517,77.275,319.47
9,28.5517,77.275,244.38
10,28.5517,77.275,210.33
11,28.5517,77.275,255.07
12,28.5517,77.275,204.77
13,28.5517,77.275,153.42
14,28.5517,77.275,113.54
15,28.5517,77.275,122.65
16,28.5517,77.275,119.45
17,28.5517,77.275,162.11
18,28.5517,77.275,256.73
19,28.5517,77.275,343.62
20,28.5517,77.275,407.89
21,28.5517,77.275,428.69
22,28.5517,77.275,424.92
23,28.5517,77.275,567
0,28.5517,77.275,638.49
1,28.5517,77.275,636.62
2,28.5517,77.275,603.34
3,28.5517,77.275,526
4,28.5517,77.275,527.42
5,28.5517,77.275,527.66
6,28.5517,77.275,465.55
7,28.5517,77.275,465.47
8,28.5517,77.275,439.69
9,28.5517,77.275,301.98
10,28.5517,77.275,312.12
11,28.5517,77.275,197.57
12,28.5517,77.275,157.8
13,28.5517,77.275,148.03
14,28.5517,77.275,135.18
15,28.5517,77.275,166.37
16,28.5517,77.275,174.26
17,28.5517,77.275,175.29
18,28.5517,77.275,189.65
19,28.5517,77.275,198.79
20,28.5517,77.275,217.45
21,28.5517,77.275,275.87
22,28.5517,77.275,205.77
23,28.5517,77.275,172.75
0,28.5517,77.275,186.71
1,28.5517,77.275,182.23
2,28.5517,77.275,179.29
3,28.5517,77.275,155.84
4,28.5517,77.275,139.64
5,28.5517,77.275,157.65
6,28.5517,77.275,182.21
7,28.5517,77.275,196.25
8,28.5517,77.275,185.29
9,28.5517,77.275,190.66
10,28.5517,77.275,192.54
11,28.5517,77.275,322.22
12,28.5517,77.275,269.26
13,28.5517,77.275,248.76
14,28.5517,77.275,210.85
15,28.5517,77.275,184.94
16,28.5517,77.275,198.34
17,28.5517,77.275,199.11
18,28.5517,77.275,192.71
19,28.5517,77.275,182.37
20,28.5517,77.275,171.86
21,28.5517,77.275,178.83
22,28.5517,77.275,188.71
23,28.5517,77.275,181.46
0,28.5517,77.275,193
1,28.5517,77.275,176.53
2,28.5517,77.275,147.07
3,28.5517,77.275,121.25
4,28.5517,77.275,128.23
5,28.5517,77.275,102.32
6,28.5517,77.275,34.78
7,28.5517,77.275,20.61
8,28.5517,77.275,31.29
9,28.5517,77.275,44.87
10,28.5517,77.275,329.16
11,28.5517,77.275,62.61
12,28.5517,77.275,74.02
13,28.5517,77.275,59.69
14,28.5517,77.275,24.71
15,28.5517,77.275,37.69
16,28.5517,77.275,35.34
17,28.5517,77.275,49.77
18,28.5517,77.275,55
19,28.5517,77.275,68.2
20,28.5517,77.275,74.75
21,28.5517,77.275,69.21
22,28.5517,77.275,68.63
23,28.5517,77.275,71.99
0,28.5517,77.275,79.98
1,28.5517,77.275,110.17
2,28.5517,77.275,94.08
3,28.5517,77.275,73.13
4,28.5517,77.275,78.61
5,28.5517,77.275,70.79
6,28.5517,77.275,79.62
7,28.5517,77.275,88.81
8,28.5517,77.275,73.3
9,28.5517,77.275,75.3
10,28.5517,77.275,65.25
11,28.5517,77.275,96.91
12,28.5517,77.275,84.73
13,28.5517,77.275,203.09
14,28.5517,77.275,86.62
15,28.5517,77.275,106.07
16,28.5517,77.275,87.5
0,28.630362,77.197293,271.25
1,28.630362,77.197293,249.25
2,28.630362,77.197293,231
3,28.630362,77.197293,251
4,28.630362,77.197293,214.5
5,28.630362,77.197293,209.75
6,28.630362,77.197293,242
7,28.630362,77.197293,304.5
8,28.630362,77.197293,359.75
9,28.630362,77.197293,358.75
10,28.630362,77.197293,320
11,28.630362,77.197293,271.25
12,28.630362,77.197293,220
13,28.630362,77.197293,203
14,28.630362,77.197293,176.25
15,28.630362,77.197293,133.75
16,28.630362,77.197293,114.5
17,28.630362,77.197293,128.25
18,28.630362,77.197293,142.25
19,28.630362,77.197293,135.5
20,28.630362,77.197293,174.5
21,28.630362,77.197293,237
22,28.630362,77.197293,294.75
23,28.630362,77.197293,371.25
0,28.630362,77.197293,428
1,28.630362,77.197293,402
2,28.630362,77.197293,352.75
3,28.630362,77.197293,322.75
4,28.630362,77.197293,281.5
5,28.630362,77.197293,228.25
6,28.630362,77.197293,217.25
7,28.630362,77.197293,223.25
8,28.630362,77.197293,265.25
9,28.630362,77.197293,361.75
10,28.630362,77.197293,376.75
11,28.630362,77.197293,252.5
12,28.630362,77.197293,219.75
13,28.630362,77.197293,228
14,28.630362,77.197293,255
15,28.630362,77.197293,140.75
16,28.630362,77.197293,123.75
17,28.630362,77.197293,131.75
18,28.630362,77.197293,140.25
19,28.630362,77.197293,149.25
20,28.630362,77.197293,188.5
21,28.630362,77.197293,247.5
22,28.630362,77.197293,298.25
23,28.630362,77.197293,310.75
0,28.630362,77.197293,292.75
1,28.630362,77.197293,234.5
2,28.630362,77.197293,212.75
3,28.630362,77.197293,215.75
4,28.630362,77.197293,286.5
5,28.630362,77.197293,392
6,28.630362,77.197293,326.5
7,28.630362,77.197293,299
8,28.630362,77.197293,303
9,28.630362,77.197293,332.75
10,28.630362,77.197293,336.75
11,28.630362,77.197293,356.5
12,28.630362,77.197293,374.5
13,28.630362,77.197293,353.75
14,28.630362,77.197293,266.5
15,28.630362,77.197293,221.25
16,28.630362,77.197293,185.25
17,28.630362,77.197293,172.75
18,28.630362,77.197293,173.25
19,28.630362,77.197293,202.25
20,28.630362,77.197293,241.25
21,28.630362,77.197293,210.25
22,28.630362,77.197293,207.5
23,28.630362,77.197293,203.5
0,28.630362,77.197293,164
1,28.630362,77.197293,150.75
2,28.630362,77.197293,149.5
3,28.630362,77.197293,134.25
4,28.630362,77.197293,141.5
5,28.630362,77.197293,128.25
6,28.630362,77.197293,131.75
7,28.630362,77.197293,125
8,28.630362,77.197293,174.75
9,28.630362,77.197293,218.75
10,28.630362,77.197293,230.5
11,28.630362,77.197293,245.5
12,28.630362,77.197293,244.5
13,28.630362,77.197293,202.75
14,28.630362,77.197293,199.5
15,28.630362,77.197293,168.5
16,28.630362,77.197293,151.25
17,28.630362,77.197293,152
18,28.630362,77.197293,158
19,28.630362,77.197293,151.75
20,28.630362,77.197293,162
21,28.630362,77.197293,161
22,28.630362,77.197293,139
23,28.630362,77.197293,137.25
0,28.630362,77.197293,146.5
1,28.630362,77.197293,160.25
2,28.630362,77.197293,148.75
3,28.630362,77.197293,136.25
4,28.630362,77.197293,129
5,28.630362,77.197293,130.75
6,28.630362,77.197293,128.25
7,28.630362,77.197293,132.75
8,28.630362,77.197293,142.75
9,28.630362,77.197293,168
10,28.630362,77.197293,165
11,28.630362,77.197293,166.25
12,28.630362,77.197293,252
13,28.630362,77.197293,308.75
14,28.630362,77.197293,465.75
15,28.630362,77.197293,398.5
16,28.630362,77.197293,223.25
17,28.630362,77.197293,172.25
18,28.630362,77.197293,126.75
19,28.630362,77.197293,132.5
20,28.630362,77.197293,138
21,28.630362,77.197293,150
22,28.630362,77.197293,145
23,28.630362,77.197293,135.5
0,28.630362,77.197293,150
1,28.630362,77.197293,147
2,28.630362,77.197293,153
3,28.630362,77.197293,144
18,28.630362,77.197293,144
20,28.630362,77.197293,187
21,28.630362,77.197293,219
22,28.630362,77.197293,183
23,28.630362,77.197293,201
0,28.630362,77.197293,171
1,28.630362,77.197293,169
2,28.630362,77.197293,175
3,28.630362,77.197293,177
4,28.630362,77.197293,193
5,28.630362,77.197293,193
6,28.630362,77.197293,235
7,28.630362,77.197293,260
8,28.630362,77.197293,189
9,28.630362,77.197293,196
10,28.630362,77.197293,221
11,28.630362,77.197293,229
12,28.630362,77.197293,279
13,28.630362,77.197293,212
14,28.630362,77.197293,135
15,28.630362,77.197293,129
16,28.630362,77.197293,114
17,28.630362,77.197293,100
18,28.630362,77.197293,124
19,28.630362,77.197293,140
20,28.630362,77.197293,167
21,28.630362,77.197293,257
22,28.630362,77.197293,280
23,28.630362,77.197293,279
0,28.630362,77.197293,254
1,28.630362,77.197293,215
2,28.630362,77.197293,266
3,28.630362,77.197293,298
4,28.630362,77.197293,362
5,28.630362,77.197293,354
6,28.630362,77.197293,346
7,28.630362,77.197293,428
8,28.630362,77.197293,434
9,28.630362,77.197293,432
10,28.630362,77.197293,471
11,28.630362,77.197293,337
12,28.630362,77.197293,305
13,28.630362,77.197293,204
14,28.630362,77.197293,151
15,28.630362,77.197293,124
16,28.630362,77.197293,108
17,28.630362,77.197293,100
18,28.630362,77.197293,101
19,28.630362,77.197293,129
20,28.630362,77.197293,166
21,28.630362,77.197293,200
22,28.630362,77.197293,267
23,28.630362,77.197293,234
0,28.630362,77.197293,191
1,28.630362,77.197293,224
2,28.630362,77.197293,207
3,28.630362,77.197293,224
4,28.630362,77.197293,237
5,28.630362,77.197293,266
6,28.630362,77.197293,277
7,28.630362,77.197293,251
8,28.630362,77.197293,272
9,28.630362,77.197293,313
10,28.630362,77.197293,259
11,28.630362,77.197293,305.75
12,28.630362,77.197293,277
13,28.630362,77.197293,209.5
14,28.630362,77.197293,179.75
15,28.630362,77.197293,133
16,28.630362,77.197293,129.5
17,28.630362,77.197293,128
18,28.630362,77.197293,143.75
19,28.630362,77.197293,165.75
20,28.630362,77.197293,200
21,28.630362,77.197293,244.5
22,28.630362,77.197293,233.5
23,28.630362,77.197293,243
0,28.630362,77.197293,228
1,28.630362,77.197293,208.5
2,28.630362,77.197293,213.5
3,28.630362,77.197293,195.25
4,28.630362,77.197293,188.25
5,28.630362,77.197293,187.5
6,28.630362,77.197293,173.5
7,28.630362,77.197293,244.75
8,28.630362,77.197293,279.75
9,28.630362,77.197293,362
10,28.630362,77.197293,310
11,28.630362,77.197293,261
12,28.630362,77.197293,393
13,28.630362,77.197293,248
14,28.630362,77.197293,199
15,28.630362,77.197293,205
16,28.630362,77.197293,196
17,28.630362,77.197293,184
18,28.630362,77.197293,193
19,28.630362,77.197293,215
20,28.630362,77.197293,208
21,28.630362,77.197293,208
22,28.630362,77.197293,207
23,28.630362,77.197293,175
0,28.630362,77.197293,173
1,28.630362,77.197293,178
2,28.630362,77.197293,164
3,28.630362,77.197293,164
4,28.630362,77.197293,186
5,28.630362,77.197293,184
6,28.630362,77.197293,189
7,28.630362,77.197293,211
8,28.630362,77.197293,216
9,28.630362,77.197293,254
10,28.630362,77.197293,226
11,28.630362,77.197293,251
12,28.630362,77.197293,298
13,28.630362,77.197293,283
14,28.630362,77.197293,312
15,28.630362,77.197293,260
16,28.630362,77.197293,243
17,28.630362,77.197293,173
18,28.630362,77.197293,200
19,28.630362,77.197293,186
20,28.630362,77.197293,219
21,28.630362,77.197293,224
22,28.630362,77.197293,208
23,28.630362,77.197293,211
0,28.630362,77.197293,155
1,28.630362,77.197293,156
2,28.630362,77.197293,141
3,28.630362,77.197293,140
4,28.630362,77.197293,99
5,28.630362,77.197293,96
6,28.630362,77.197293,84
7,28.630362,77.197293,56
8,28.630362,77.197293,42
9,28.630362,77.197293,58
10,28.630362,77.197293,62
11,28.630362,77.197293,89
12,28.630362,77.197293,72
13,28.630362,77.197293,72
14,28.630362,77.197293,55
15,28.630362,77.197293,48
16,28.630362,77.197293,51
